LABEL_GL             | 20 | 0 | Char | ACAC.REP             | DYN_ACAC             | Murex | Copy Creation
LABEL_SUB            | 20 | 0 | Char | ACAC.REP             | DYN_ACAC             | Murex | Copy Creation
RM_FXUND             | 15 | 8 | Numeric | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
RM_SMCUR             | 15 | 8 | Numeric | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
RPT_DATE             | 8 | 0 | Date | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
SELL_AMT01           | 15 | 2 | Numeric | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
SELL_CUR01           | 3 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_BUY               | 1 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_CNTRP             | 15 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_DSCTYPE           | 30 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_DTEEXP            | 8 | 0 | Date | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_DTEPMT            | 8 | 0 | Date | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_DTEPMT2           | 8 | 0 | Date | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_DTETRN            | 8 | 0 | Date | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_ENTITY            | 10 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_FXBASE            | 3 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_FXUND             | 3 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_IQTY              | 24 | 8 | American | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_IQTYS             | 24 | 8 | American | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_MOPLST            | 1 | 0 | Numeric | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_NBLTI             | 10 | 0 | Numeric | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_NOMCUR            | 3 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_NOMINAL           | 19 | 2 | American | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_PFOLIO            | 15 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_PRICE             | 23 | 6 | Numeric | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_QTYEQ             | 24 | 8 | American | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_QTYEQS            | 24 | 8 | American | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_SMAMT             | 16 | 2 | Numeric | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_SMCUR             | 3 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_SMRTE             | 9 | 4 | Numeric | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_STATUS2           | 10 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_TRADER            | 10 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_TRNTYPE           | 30 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_TYPO              | 20 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TP_VALSTAT           | 4 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TRN_FMLY             | 5 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TRN_GRP              | 5 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
TRN_TYPE             | 5 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
U_BRH_CONV           | 15 | 0 | Char | HLMY_FEC_CIB.REP     | HLMY_CIB_FEC         | User | DYN_TRNRP_PL        
CIFNO                | 21 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
CRT_BND12            | 8 | 0 | Date | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
CUSTOMER             | 1 | 0 | Char | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
NB                   | 10 | 0 | Numeric | HLMY_CIB.REP         | HLMY_CIB             | User | DYN_TRNRP_PL        
