V_STP_STS            | 20 | 0 | Char | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
V_STP_STS0           | 20 | 0 | Char | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
V_STP_STS1           | 1 | 0 | Char | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
V_STP_STS2           | 1 | 0 | Char | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
V_STP_STS3           | 1 | 0 | Char | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
V_STP_STS4           | 1 | 0 | Char | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
V_SYSDATE            | 8 | 0 | Date | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
V_SYSTIME            | 8 | 0 | Char | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
V_TRD_REF            | 10 | 0 | Numeric | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
V_VERSION            | 6 | 0 | Numeric | EVT_STL.REP          | DYN_EVT_STL          | Murex | DYN_TRNRP_MK        
NB                   | 10 | 0 | Numeric | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
SC2_FD_FN            | 14 | 7 | Numeric | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
TP_PFOLIO            | 15 | 0 | Char | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
XG_EIDX              | 20 | 0 | Char | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
XG_END               | 8 | 0 | Date | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
XG_FIXAMT            | 16 | 2 | American | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
XG_FIXAMTC           | 3 | 0 | Char | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
XG_FIXED             | 1 | 0 | Char | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
CNT_ORG              | 10 | 0 | Numeric | EVT_STL.REP          | DYN_EVT_STL          | Murex | DYN_TRNRP_MK        
TP_PFOLIO            | 15 | 0 | Char | EVT_STL.REP          | DYN_EVT_STL          | Murex | DYN_TRNRP_MK        
V_EVSTLAMT           | 19 | 3 | American | EVT_STL.REP          | DYN_EVT_STL          | Murex | DYN_TRNRP_MK        
V_EVSTLCUR           | 3 | 0 | Char | EVT_STL.REP          | DYN_EVT_STL          | Murex | DYN_TRNRP_MK        
V_EVSTLDTE           | 8 | 0 | Date | EVT_STL.REP          | DYN_EVT_STL          | Murex | DYN_TRNRP_MK        
V_EVSTLIND           | 2 | 0 | Numeric | EVT_STL.REP          | DYN_EVT_STL          | Murex | DYN_TRNRP_MK        
V_EVSTLNB            | 2 | 0 | Numeric | EVT_STL.REP          | DYN_EVT_STL          | Murex | DYN_TRNRP_MK        
V_EVTSTLCV           | 2 | 0 | Numeric | EVT_STL.REP          | DYN_EVT_STL          | Murex | DYN_TRNRP_MK        
XG_FIXING            | 8 | 0 | Date | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
XG_FIXMOD            | 20 | 8 | Numeric | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
XG_FIXMRG            | 10 | 5 | Numeric | FIXING.REP           | DYN_FIXING           | Murex | DYN_TRNRP_XG        
