DT_FXNG10            | 19 | 6 | Numeric | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_INDEX10           | 35 | 0 | Char | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_LEG0              | 3 | 0 | Numeric | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_LEGSTP0           | 4 | 0 | Numeric | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_LGFIX0            | 1 | 0 | Char | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_LGPR0             | 1 | 0 | Char | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_MARGIN0           | 17 | 7 | Numeric | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_PAYCUR0           | 3 | 0 | Char | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_PHASE             | 3 | 0 | Numeric | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_PH_ED             | 8 | 0 | Date | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_PH_SD             | 8 | 0 | Date | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_PRICE0            | 15 | 8 | Numeric | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
DT_START0            | 8 | 0 | Date | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
H_DATE               | 8 | 0 | Date | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
NB                   | 10 | 0 | Numeric | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
TP_PFOLIO            | 15 | 0 | Char | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
TP_RTNBPHS           | 2 | 0 | Numeric | DM_E_IRD_MULTIPH.REP | DY_E_IRD_MULTIPHASE  | User | DYN_TRNRP_DT        
CMP_TYPO             | 21 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
CNT_TYPO             | 21 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
CONTRACT             | 10 | 0 | Numeric | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
F_AMOUNT             | 21 | 4 | American | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
F_CURRENCY           | 3 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
F_DTEEVENT           | 8 | 0 | Date | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
F_NATURE             | 10 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
F_NBMOP              | 10 | 0 | Numeric | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
F_OBSCOM             | 1 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
F_TYPE               | 10 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
F_TYPELAB0           | 10 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
F_TYPELAB1           | 10 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
F_TYPELAB2           | 10 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
F_TYPELAB3           | 10 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
F_TYPELAB4           | 10 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
F_VALUE              | 8 | 0 | Date | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
F_VAL_DATE           | 8 | 0 | Date | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
H_DATE               | 8 | 0 | Date | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
H_DCI_ORIG           | 10 | 0 | Numeric | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
H_EVENT              | 20 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
H_FLOW               | 20 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
H_FLOW_DT            | 8 | 0 | Date | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
H_VAAMT              | 21 | 4 | American | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
H_VAAMT_CC           | 3 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
H_VAAMT_DT           | 8 | 0 | Date | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
H_VAAMT_RT           | 21 | 4 | American | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
CSFR_CAP             | 23 | 6 | American | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
CSFR_FEE             | 23 | 6 | American | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
CSFR_FEE1            | 23 | 6 | American | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
MRPL_DATE            | 8 | 0 | Date | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
NB                   | 10 | 0 | Numeric | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
NB_EXT               | 10 | 0 | Numeric | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
PKG_TYPO             | 21 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
TP_DTESYS            | 8 | 0 | Date | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
TP_DTETRN            | 8 | 0 | Date | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
TP_ENTITY            | 10 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
TP_PFOLIO            | 15 | 0 | Char | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
UDF_REF0             | 10 | 0 | Numeric | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
UDF_REF1             | 10 | 0 | Numeric | DM_E_SM_IRD.REP      | DY_E_SM_IRD          | User | DYN_TRNRP_CS        
TP_YIELD             | 9 | 4 | Numeric | TP_ALL.REP           | DYN_TP_ALL           | Murex | DYN_TRNRP_PL        
TRN_FMLY             | 5 | 0 | Char | TP_ALL.REP           | DYN_TP_ALL           | Murex | DYN_TRNRP_PL        
CSFR_REV             | 23 | 6 | American | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
CSFR_SM              | 23 | 6 | American | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
CSFU_ALL             | 23 | 6 | American | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
CSFU_ASS             | 23 | 6 | American | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
CSFU_CAP             | 23 | 6 | American | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
CSFU_FEE             | 23 | 6 | American | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
CSFU_REV             | 23 | 6 | American | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
CSFU_SM              | 23 | 6 | American | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
CSNFR_ALL            | 23 | 6 | American | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
TRN_GRP              | 5 | 0 | Char | REC_CS.REP           | DYN_REC_CS           | Murex | DYN_TRNRP_CS        
TRN_TYPE             | 5 | 0 | Char | REC_CS.REP           | DYN_REC_CS           | Murex | DYN_TRNRP_CS        
DF_TTYPE             | 10 | 0 | Char | REC_DLV.REP          | DYN_REC_DLV          | Murex | Deliverable Cash
DF_VDATE             | 8 | 0 | Date | REC_DLV.REP          | DYN_REC_DLV          | Murex | Deliverable Cash
H_AMOUNT             | 24 | 8 | American | REC_DLV.REP          | DYN_REC_DLV          | Murex | Deliverable Cash
TRN_GRP              | 5 | 0 | Char | TP_ALL.REP           | DYN_TP_ALL           | Murex | DYN_TRNRP_PL        
TRN_GTYPE            | 3 | 0 | Numeric | TP_ALL.REP           | DYN_TP_ALL           | Murex | DYN_TRNRP_PL        
TRN_TYPE             | 5 | 0 | Char | TP_ALL.REP           | DYN_TP_ALL           | Murex | DYN_TRNRP_PL        
UDF_REF2             | 10 | 0 | Numeric | TP_ALL.REP           | DYN_TP_ALL           | Murex | DYN_TRNRP_PL        
TP_CMLDIR0           | 3 | 0 | Char | TP_CM.REP            | DYN_TP_CM            | Murex | DYN_TRNRP_PL        
TP_CMLDU0            | 20 | 0 | Char | TP_CM.REP            | DYN_TP_CM            | Murex | DYN_TRNRP_PL        
TP_CMLQU0            | 20 | 0 | Char | TP_CM.REP            | DYN_TP_CM            | Murex | DYN_TRNRP_PL        
TP_CMULAB0           | 35 | 0 | Char | TP_CM.REP            | DYN_TP_CM            | Murex | DYN_TRNRP_PL        
