PRICE                | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
QUANTITY             | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
REC_AMNT             | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
REC_CTPIA            | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
REC_IT               | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
REC_MTM              | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
REC_OURIA            | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
REC_SETL             | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
REQ_FX_RT            | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RMN_AMNT             | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RQDET_MTA            | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RQDET_THLD           | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RQDET_UNIT           | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
TTL_AMNT             | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
TTL_SUBVAL           | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
TTL_VAL_AL           | 24 | 6 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
_DT_DIS_FI           | 0 | 0 |  | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
_DT_DIS_IN           | 0 | 0 |  | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
_DT_IN_TS            | 0 | 0 |  | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
FX_CUST              | 1 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
OUR_ITINC            | 1 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
PRICE_CUST           | 1 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
REQ_DSPTED           | 1 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
XSUM_DET             | 1 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
XDUP_FLAG            | 1 | 0 | Numeric | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
CCY                  | 4 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
REQ_CCY              | 4 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
REQ_TYPE             | 4 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
MCDSP_STAT           | 6 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
DSPT_FINDT           | 8 | 0 | Date | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
DSPT_INSDT           | 8 | 0 | Date | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
INS_DATE             | 8 | 0 | Date | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
SETTLEDATE           | 8 | 0 | Date | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
VAL_DATE             | 8 | 0 | Date | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
ASSET_TYPE           | 10 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
COL_DIR              | 10 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
MOV_DIR              | 10 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
RQDET_MTHD           | 10 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
BASE_ID              | 10 | 0 | Numeric | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
DSPT_EVID            | 10 | 0 | Numeric | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
RUN_ID               | 10 | 0 | Numeric | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
DSPT_STAT            | 11 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
XSUM_COUNT           | 12 | 0 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
REQ_STAT             | 15 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
CONTEXT              | 16 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
SOURCE               | 16 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
GLB_STAT             | 20 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
DSPT_VLD             | 21 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
INSTRUMENT           | 21 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
PLC_SETLMT           | 21 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
VLDN_STATS           | 21 | 0 | Char | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
NB_REQS              | 24 | 0 | Numeric | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
