INSTRUMEN            | 15 | 0 | Char | ERM_IRGR.REP         | MLC_MKT_IRGR         | User Additional | Simulation
PORTFOLIO            | 16 | 0 | Char | ERM_IRGR.REP         | MLC_MKT_IRGR         | User Additional | Simulation
TYPE                 | 16 | 0 | Char | ERM_IRGR.REP         | MLC_MKT_IRGR         | User Additional | Simulation
TYPOLOGY             | 21 | 0 | Char | ERM_IRGR.REP         | MLC_MKT_IRGR         | User Additional | Simulation
CASH                 | 18 | 6 | American | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
TP_RTVLC02           | 19 | 6 | Numeric | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
AMD_STS0             | 2 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
H_RPO_AMT            | 20 | 2 | Numeric | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
H_SEC_CPN            | 16 | 6 | Numeric | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
UDF_REF1             | 10 | 0 | Numeric | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
CNT_STLMTD           | 21 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
CNT_TYPO             | 21 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
CNT_VS1              | 6 | 0 | Numeric | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
MP_SPOT2             | 18 | 8 | Numeric | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_CP                | 1 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
AMD_STS1             | 2 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
MRPL_DATE            | 8 | 0 | Date | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_FXCLS             | 1 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_CNTRPCY           | 35 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
MP_SPOT21            | 18 | 8 | Numeric | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
CNTLEVTL2            | 50 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_DTEUNDD           | 8 | 0 | Date | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
CNT_VS0              | 6 | 0 | Numeric | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_BUY               | 1 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
CNTLVTTSH0           | 8 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_IPAYCV            | 16 | 2 | American | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_DTEUND            | 8 | 0 | Date | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
CNTLEVTL2            | 50 | 0 | Char | PGI_DEALDATA.REP     | DYN_PGI_RECON        | User | DYN_TRNRP_PL        
