EVENT_FLL3           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_FLL4           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_FLT0           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_FLT1           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_FLT2           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_FLT3           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_FLT4           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_PL             | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_PLTP           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_PR             | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_RV             | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVENT_RVC            | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_ACCDTL           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_ACCMOD           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_AMTTYP           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_DATDTL           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_EXTTYP           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_FEDATE           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_FLTYP            | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_GRP              | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_HDGTYP           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_INTADD           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_LEGDTL           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_PLADTL           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_PLTYPE           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_RVLYN            | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_STLDTL           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
EVT_UZTYPE           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
PL_CLCCURR           | 10 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
RPL_RUL              | 10 | 0 | Numeric | ACR1.REP             | DYN_ACR1             | User | 
RULE_NB              | 10 | 0 | Numeric | ACR1.REP             | DYN_ACR1             | User | 
PL_CLCLEG            | 15 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
PL_CLCPER            | 15 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
PL_CLCSPOT           | 15 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TRN_ENT              | 15 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TRN_SEC              | 15 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
PL_CLCLBL            | 20 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
ACC_CDT              | 40 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
ACC_DBT              | 40 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
FOR_CDT1             | 40 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
FOR_CDT2             | 40 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
FOR_CDT3             | 40 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
FOR_DBT1             | 40 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
FOR_DBT2             | 40 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
FOR_DBT3             | 40 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TRN_FLTLAB           | 50 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TRN_FLTVL0           | 50 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TRN_FLTVL1           | 50 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TRN_FLTVL2           | 50 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TRN_FLTVL3           | 50 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
TRN_FLTVL4           | 50 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
RULE_LB              | 100 | 0 | Char | ACR1.REP             | DYN_ACR1             | User | 
