BF_OPENING           | 24 | 2 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
BF_ADJUST            | 24 | 2 | Numeric | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
AC_IBA               | 1 | 0 | Char | DLV_NOS_CS.REP       | DYN_DLV_NOS_CS       | Murex | Deliverable nostro cash
V_EVSTLNB            | 2 | 0 | Numeric | EVT_STL.REP          | DYN_EVT_STL          | Murex | DYN_TRNRP_MK        
V_EVTSTLCV           | 2 | 0 | Numeric | EVT_STL.REP          | DYN_EVT_STL          | Murex | DYN_TRNRP_MK        
NB                   | 10 | 0 | Numeric | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSNFU_REV            | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSFU_FEE             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSFR_FEE             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSFU_REV             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSFU_SM              | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSNFU_ALL            | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
TRN_GRP              | 5 | 0 | Char | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
FPFU_CAP             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSNFR_ALL            | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSFU_ASS             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
V_VERSION            | 6 | 0 | Numeric | EVT_STL.REP          | DYN_EVT_STL          | Murex | DYN_TRNRP_MK        
FPFR_REV             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSNFU_FEE            | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
INST_REF             | 20 | 0 | Char | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
TRN_TYPE             | 5 | 0 | Char | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
FPFU_REV             | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
FPNFR_REV            | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
PL_KEY1              | 30 | 0 | Char | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CSNFR_FEE            | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
PL_ACC               | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
FPNFU_REV            | 23 | 6 | American | REF_DETPL.REP        | DYN_REF_DETPL        | Murex | Simulation
CNT_ORG              | 10 | 0 | Numeric | EVT_HIS.REP          | DYN_EVT_HIS          | Murex | DYN_TRNRP_MK        
