Dynamic table type,Dynamic table field,field type,dbs.csv,hsbc.csv,taishin.csv,uob.csv,vietin.csv,woori.csv
DYN_TRNRP_CS,H_ROLLMONT,Date,0,0,0,0,1,0
DYN_TRNRP_PL,H_ACC_PL,Numeric,0,0,2,0,0,0
DYN_TRNRP_PL,XITTIME10,Char,0,1,0,0,0,0
DYN_TRNRP_PL,SE_ISS,Char,1,0,0,0,0,0
,CLEARER,Char,0,2,0,0,0,0
Simulation,PL_CURR,Char,2,0,0,0,0,0
Simulation,P_L_INSTR,Char,0,0,0,0,0,1
Simulation,STATUS1,Char,0,0,0,0,0,1
Copy Creation,D_MTMAMT,Char,2,0,0,0,0,0
Collateral,AMD_MRG,Numeric,0,0,0,0,0,1
Simulation,MV_PFOWNER,Char,0,0,8,0,0,0
Simulation,P_L__REL_,American,0,0,0,0,0,1
DYN_TRNRP_MV,TP_DIGPAY,Numeric,10,0,0,3,0,0
DYN_TRNRP_PL,PLIRDNFC12,American,3,7,0,0,0,0
DYN_TRNRP_PL,PLIRDNFC10,American,0,6,0,0,0,0
DYN_TRNRP_PL,PLIRDNFC11,American,0,7,0,0,0,0
Deliverable Cash,V_BEN_SWF,Char,0,0,0,0,0,1
,ACC_DBT,Char,0,1,0,0,0,0
DYN_TRNRP_PL,H_TP_DTEXP,Date,6,0,0,0,0,0
Liquidation Positions,ORIGINRE1,American,0,0,0,0,0,1
Data Dictionary (Market Data Loader),HIGH,Numeric,0,0,1,0,0,0
DYN_TRNRP_PL,LEG_ID,Numeric,0,1,0,0,0,0
DYN_TRNRP_DT,H_DATE,Date,1,0,3,0,0,0
,TP_DTEEXP,Date,0,3,0,0,0,0
Simulation,CSFR_CAP,American,4,2,4,2,2,2
DYN_TRNRP_PL,QTY_INDEX,Numeric,50,70,1,11,5,1
DYN_TRNRP_CS,TP_CNTRPID,Char,18,0,0,0,0,1
Simulation,FEETYPE,Char,0,0,0,0,0,1
DYN_TRNRP_PL,H_PTYPECOD,Char,1,0,0,0,0,0
PL VAR,NB_AMDTRN,Numeric,1,0,0,0,0,0
Liquidation Positions,ORIGINREF,American,0,0,0,0,0,5
Simulation,TR_CURVE,Char,0,1,0,0,0,0
